MatchNumber,RoundNumber,Date,Location,HomeTeam,AwayTeam,Result
1,1,24/08/2019 18:00,Stadio Ennio Tardini,Parma,Juventus,0 - 1
2,1,24/08/2019 20:45,Stadio Artemio Franchi,Fiorentina,Napoli,3 - 4
3,1,25/08/2019 18:00,Stadio Friuli,Udinese,Milan,1 - 0
4,1,25/08/2019 20:45,Sardegna Arena,Cagliari,Brescia,0 - 1
5,1,25/08/2019 20:45,Stadio Marc'Antonio Bentegodi,Hellas Verona,Bologna,1 - 1
6,1,25/08/2019 20:45,Stadio Olimpico,Roma,Genoa,3 - 3
7,1,25/08/2019 20:45,Stadio Luigi Ferraris,Sampdoria,Lazio,0 - 3
8,1,25/08/2019 20:45,Stadio Paolo Mazza,Spal,Atalanta,2 - 3
9,1,25/08/2019 20:45,Stadio Olimpico Grande Torino,Torino,Sassuolo,2 - 1
10,1,26/08/2019 20:45,San Siro,Inter,Lecce,4 - 0
11,2,30/08/2019 20:45,Stadio Renato Dall'Ara,Bologna,Spal,1 - 0
12,2,31/08/2019 18:00,San Siro,Milan,Brescia,1 - 0
13,2,31/08/2019 20:45,Allianz Stadium,Juventus,Napoli,4 - 3
14,2,01/09/2019 18:00,Stadio Olimpico,Lazio,Roma,1 - 1
15,2,01/09/2019 20:45,Stadio Ennio Tardini,Atalanta,Torino,2 - 3
16,2,01/09/2019 20:45,Sardegna Arena,Cagliari,Inter,1 - 2
17,2,01/09/2019 20:45,Stadio Luigi Ferraris,Genoa,Fiorentina,2 - 1
18,2,01/09/2019 20:45,Stadio Via del Mare,Lecce,Hellas Verona,0 - 1
19,2,01/09/2019 20:45,Mapei Stadium,Sassuolo,Sampdoria,4 - 1
20,2,01/09/2019 20:45,Stadio Friuli,Udinese,Parma,1 - 3
22,3,14/09/2019 15:00,Stadio Artemio Franchi,Fiorentina,Juventus,0 - 0
26,3,14/09/2019 18:00,Stadio San Paolo,Napoli,Sampdoria,2 - 0
25,3,14/09/2019 20:45,San Siro,Inter,Udinese,1 - 0
23,3,15/09/2019 12:30,Stadio Luigi Ferraris,Genoa,Atalanta,1 - 2
21,3,15/09/2019 15:00,Stadio Mario Rigamonti,Brescia,Bologna,3 - 4
27,3,15/09/2019 15:00,Stadio Ennio Tardini,Parma,Cagliari,1 - 3
29,3,15/09/2019 15:00,Stadio Paolo Mazza,Spal,Lazio,2 - 1
28,3,15/09/2019 18:00,Stadio Olimpico,Roma,Sassuolo,4 - 2
24,3,15/09/2019 20:45,Stadio Marc'Antonio Bentegodi,Hellas Verona,Milan,0 - 1
30,3,16/09/2019 20:45,Stadio Olimpico Grande Torino,Torino,Lecce,1 - 2
34,4,20/09/2019 20:45,Sardegna Arena,Cagliari,Genoa,3 - 1
40,4,21/09/2019 15:00,Stadio Friuli,Udinese,Brescia,0 - 1
35,4,21/09/2019 18:00,Allianz Stadium,Juventus,Hellas Verona,2 - 1
31,4,21/09/2019 20:45,San Siro,Milan,Inter,0 - 2
39,4,22/09/2019 12:30,Mapei Stadium,Sassuolo,Spal,3 - 0
33,4,22/09/2019 15:00,Stadio Renato Dall'Ara,Bologna,Roma,1 - 2
37,4,22/09/2019 15:00,Stadio Via del Mare,Lecce,Napoli,1 - 4
38,4,22/09/2019 15:00,Stadio Luigi Ferraris,Sampdoria,Torino,1 - 0
32,4,22/09/2019 18:00,Stadio Ennio Tardini,Atalanta,Fiorentina,2 - 2
36,4,22/09/2019 20:45,Stadio Olimpico,Lazio,Parma,2 - 0
44,5,24/09/2019 19:00,Stadio Marc'Antonio Bentegodi,Hellas Verona,Udinese,0 - 0
41,5,24/09/2019 21:00,Stadio Mario Rigamonti,Brescia,Juventus,1 - 2
48,5,25/09/2019 19:00,Stadio Olimpico,Roma,Atalanta,0 - 2
42,5,25/09/2019 21:00,Stadio Artemio Franchi,Fiorentina,Sampdoria,2 - 1
43,5,25/09/2019 21:00,Stadio Luigi Ferraris,Genoa,Bologna,0 - 0
45,5,25/09/2019 21:00,San Siro,Inter,Lazio,1 - 0
46,5,25/09/2019 21:00,Stadio San Paolo,Napoli,Cagliari,0 - 1
47,5,25/09/2019 21:00,Stadio Ennio Tardini,Parma,Sassuolo,1 - 0
49,5,25/09/2019 21:00,Stadio Paolo Mazza,Spal,Lecce,1 - 3
50,5,25/09/2019 21:00,Stadio Olimpico Grande Torino,Torino,Milan,2 - 1
52,6,28/09/2019 15:00,Allianz Stadium,Juventus,Spal,2 - 0
58,6,28/09/2019 18:00,Stadio Luigi Ferraris,Sampdoria,Inter,1 - 3
59,6,28/09/2019 20:45,Mapei Stadium,Sassuolo,Atalanta,1 - 4
56,6,29/09/2019 12:30,Stadio San Paolo,Napoli,Brescia,2 - 1
53,6,29/09/2019 15:00,Stadio Olimpico,Lazio,Genoa,4 - 0
54,6,29/09/2019 15:00,Stadio Via del Mare,Lecce,Roma,0 - 1
60,6,29/09/2019 15:00,Stadio Friuli,Udinese,Bologna,1 - 0
51,6,29/09/2019 18:00,Sardegna Arena,Cagliari,Hellas Verona,1 - 1
55,6,29/09/2019 20:45,San Siro,Milan,Fiorentina,1 - 3
57,6,30/09/2019 20:45,Stadio Ennio Tardini,Parma,Torino,3 - 2
68,7,05/10/2019 15:00,Stadio Paolo Mazza,Spal,Parma,1 - 0
66,7,05/10/2019 18:00,Stadio Marc'Antonio Bentegodi,Hellas Verona,Sampdoria,2 - 0
65,7,05/10/2019 20:45,Stadio Luigi Ferraris,Genoa,Milan,1 - 2
64,7,06/10/2019 12:30,Stadio Artemio Franchi,Fiorentina,Udinese,1 - 0
61,7,06/10/2019 15:00,Gewiss Stadium,Atalanta,Lecce,3 - 1
62,7,06/10/2019 15:00,Stadio Renato Dall'Ara,Bologna,Lazio,2 - 2
67,7,06/10/2019 15:00,Stadio Olimpico,Roma,Cagliari,1 - 1
69,7,06/10/2019 18:00,Stadio Olimpico Grande Torino,Torino,Napoli,0 - 0
70,7,06/10/2019 20:45,San Siro,Inter,Juventus,1 - 2
74,8,19/10/2019 15:00,Stadio Olimpico,Lazio,Atalanta,3 - 3
76,8,19/10/2019 18:00,Stadio San Paolo,Napoli,Hellas Verona,2 - 0
73,8,19/10/2019 20:45,Allianz Stadium,Juventus,Bologna,2 - 1
79,8,20/10/2019 12:30,Mapei Stadium,Sassuolo,Inter,3 - 4
72,8,20/10/2019 15:00,Sardegna Arena,Cagliari,Spal,2 - 0
78,8,20/10/2019 15:00,Stadio Luigi Ferraris,Sampdoria,Roma,0 - 0
80,8,20/10/2019 15:00,Stadio Friuli,Udinese,Torino,1 - 0
77,8,20/10/2019 18:00,Stadio Ennio Tardini,Parma,Genoa,5 - 1
75,8,20/10/2019 20:45,San Siro,Milan,Lecce,2 - 2
71,8,21/10/2019 21:00,Stadio Mario Rigamonti,Brescia,Fiorentina,0 - 0
85,9,25/10/2019 20:45,Stadio Marc'Antonio Bentegodi,Hellas Verona,Sassuolo,0 - 1
87,9,26/10/2019 15:00,Stadio Via del Mare,Lecce,Juventus,1 - 1
86,9,26/10/2019 18:00,San Siro,Inter,Parma,2 - 2
84,9,26/10/2019 20:45,Stadio Luigi Ferraris,Genoa,Brescia,3 - 1
82,9,27/10/2019 12:30,Stadio Renato Dall'Ara,Bologna,Sampdoria,2 - 1
81,9,27/10/2019 15:00,Gewiss Stadium,Atalanta,Udinese,7 - 1
89,9,27/10/2019 15:00,Stadio Paolo Mazza,Spal,Napoli,1 - 1
90,9,27/10/2019 15:00,Stadio Olimpico Grande Torino,Torino,Cagliari,1 - 1
88,9,27/10/2019 18:00,Stadio Olimpico,Roma,Milan,2 - 1
83,9,27/10/2019 20:45,Stadio Artemio Franchi,Fiorentina,Lazio,1 - 2
97,10,29/10/2019 19:00,Stadio Ennio Tardini,Parma,Hellas Verona,0 - 1
91,10,29/10/2019 21:00,Stadio Mario Rigamonti,Brescia,Inter,1 - 2
96,10,30/10/2019 19:00,Stadio San Paolo,Napoli,Atalanta,2 - 2
92,10,30/10/2019 21:00,Sardegna Arena,Cagliari,Bologna,3 - 2
93,10,30/10/2019 21:00,Allianz Stadium,Juventus,Genoa,2 - 1
94,10,30/10/2019 21:00,Stadio Olimpico,Lazio,Torino,4 - 0
98,10,30/10/2019 21:00,Stadio Luigi Ferraris,Sampdoria,Lecce,1 - 1
99,10,30/10/2019 21:00,Mapei Stadium,Sassuolo,Fiorentina,1 - 2
100,10,30/10/2019 21:00,Stadio Friuli,Udinese,Roma,0 - 4
95,10,31/10/2019 21:00,San Siro,Milan,Spal,1 - 0
110,11,02/11/2019 15:00,Stadio Olimpico,Roma,Napoli,2 - 1
103,11,02/11/2019 18:00,Stadio Renato Dall'Ara,Bologna,Inter,1 - 2
101,11,02/11/2019 20:45,Stadio Olimpico Grande Torino,Torino,Juventus,0 - 1
102,11,03/11/2019 12:30,Gewiss Stadium,Atalanta,Cagliari,0 - 2
105,11,03/11/2019 15:00,Stadio Luigi Ferraris,Genoa,Udinese,1 - 3
106,11,03/11/2019 15:00,Stadio Marc'Antonio Bentegodi,Hellas Verona,Brescia,2 - 1
107,11,03/11/2019 15:00,Stadio Via del Mare,Lecce,Sassuolo,2 - 2
104,11,03/11/2019 18:00,Stadio Artemio Franchi,Fiorentina,Parma,1 - 1
108,11,03/11/2019 20:45,San Siro,Milan,Lazio,1 - 2
109,11,04/11/2019 20:45,Stadio Paolo Mazza,Spal,Sampdoria,0 - 1
118,12,08/11/2019 20:45,Mapei Stadium,Sassuolo,Bologna,3 - 1
111,12,09/11/2019 15:00,Stadio Mario Rigamonti,Brescia,Torino,0 - 4
113,12,09/11/2019 18:00,San Siro,Inter,Hellas Verona,2 - 1
115,12,09/11/2019 20:45,Stadio San Paolo,Napoli,Genoa,0 - 0
112,12,10/11/2019 12:30,Sardegna Arena,Cagliari,Fiorentina,5 - 2
114,12,10/11/2019 15:00,Stadio Olimpico,Lazio,Lecce,4 - 2
117,12,10/11/2019 15:00,Stadio Luigi Ferraris,Sampdoria,Atalanta,0 - 0
119,12,10/11/2019 15:00,Stadio Friuli,Udinese,Spal,0 - 0
116,12,10/11/2019 18:00,Stadio Ennio Tardini,Parma,Roma,2 - 0
120,12,10/11/2019 20:45,Allianz Stadium,Juventus,Milan,1 - 0
121,13,23/11/2019 15:00,Gewiss Stadium,Atalanta,Juventus,1 - 3
130,13,23/11/2019 18:00,San Siro,Milan,Napoli,1 - 1
129,13,23/11/2019 20:45,Stadio Olimpico Grande Torino,Torino,Inter,0 - 3
122,13,24/11/2019 12:30,Stadio Renato Dall'Ara,Bologna,Parma,2 - 2
123,13,24/11/2019 15:00,Stadio Marc'Antonio Bentegodi,Hellas Verona,Fiorentina,1 - 0
125,13,24/11/2019 15:00,Stadio Olimpico,Roma,Brescia,3 - 0
127,13,24/11/2019 15:00,Mapei Stadium,Sassuolo,Lazio,1 - 2
126,13,24/11/2019 18:00,Stadio Luigi Ferraris,Sampdoria,Udinese,2 - 1
